Container contains 1674 elements.
1: This is a plane. Speed: 51, distance to destination: 1912.000000, time to distance: 37.490196, maximum flight distance: 3918, capacity: 173
1437: 1438: 1439: This is a plane. Speed: 41, distance to destination: 1778.000000, time to distance: 43.365854, maximum flight distance: 2885, capacity: 184
1440: This is a plane. Speed: 25, distance to destination: 1291.000000, time to distance: 51.640000, maximum flight distance: 2721, capacity: 159
1441: 1442: This is a plane. Speed: 59, distance to destination: 1958.000000, time to distance: 33.186441, maximum flight distance: 2882, capacity: 155
1443: This is a plane. Speed: 32, distance to destination: 1183.000000, time to distance: 36.968750, maximum flight distance: 2699, capacity: 222
1444: 1445: This is a plane. Speed: 3, distance to destination: 346.000000, time to distance: 115.333333, maximum flight distance: 3247, capacity: 250
1446: This is a ship. Speed: 8, distance to destination: 1476.000000, time to distance: 184.500000, ship type: tanker, displacement: 6702
1447: This is a plane. Speed: 46, distance to destination: 1721.000000, time to distance: 37.413043, maximum flight distance: 3887, capacity: 235
1448: This is a plane. Speed: 4, distance to destination: 1454.000000, time to distance: 363.500000, maximum flight distance: 3679, capacity: 264
1449: This is a plane. Speed: 18, distance to destination: 1803.000000, time to distance: 100.166667, maximum flight distance: 3905, capacity: 247
1450: This is a ship. Speed: 1, distance to destination: 153.000000, time to distance: 153.000000, ship type: liner, displacement: 30081
1451: This is a ship. Speed: 32, distance to destination: 1129.000000, time to distance: 35.281250, ship type: liner, displacement: 14823
1452: 1453: 1454: This is a plane. Speed: 5, distance to destination: 1622.000000, time to distance: 324.400000, maximum flight distance: 2037, capacity: 138
1455: 1456: This is a ship. Speed: 39, distance to destination: 1294.000000, time to distance: 33.179487, ship type: liner, displacement: 21223
1457: 1458: This is a ship. Speed: 4, distance to destination: 1543.000000, time to distance: 385.750000, ship type: tugboat, displacement: 32986
1459: 1460: This is a ship. Speed: 37, distance to destination: 1546.000000, time to distance: 41.783784, ship type: liner, displacement: 28979
1461: 1462: This is a plane. Speed: 21, distance to destination: 1849.000000, time to distance: 88.047619, maximum flight distance: 2960, capacity: 220
1463: 1464: This is a ship. Speed: 3, distance to destination: 281.000000, time to distance: 93.666667, ship type: liner, displacement: 21948
1465: This is a plane. Speed: 9, distance to destination: 796.000000, time to distance: 88.444444, maximum flight distance: 3126, capacity: 178
1466: 1467: This is a plane. Speed: 49, distance to destination: 1457.000000, time to distance: 29.734694, maximum flight distance: 2664, capacity: 182
1468: This is a plane. Speed: 22, distance to destination: 1167.000000, time to distance: 53.045455, maximum flight distance: 2066, capacity: 127
1469: This is a ship. Speed: 38, distance to destination: 1726.000000, time to distance: 45.421053, ship type: tanker, displacement: 22557
1470: This is a ship. Speed: 56, distance to destination: 1854.000000, time to distance: 33.107143, ship type: liner, displacement: 18382
1471: This is a ship. Speed: 48, distance to destination: 1673.000000, time to distance: 34.854167, ship type: tugboat, displacement: 1514
1472: This is a plane. Speed: 51, distance to destination: 1734.000000, time to distance: 34.000000, maximum flight distance: 3057, capacity: 284
1473: 1474: 1475: This is a ship. Speed: 8, distance to destination: 1469.000000, time to distance: 183.625000, ship type: liner, displacement: 17987
1476: This is a plane. Speed: 24, distance to destination: 1468.000000, time to distance: 61.166667, maximum flight distance: 2997, capacity: 259
1477: This is a plane. Speed: 9, distance to destination: 862.000000, time to distance: 95.777778, maximum flight distance: 3781, capacity: 186
1478: This is a plane. Speed: 2, distance to destination: 1627.000000, time to distance: 813.500000, maximum flight distance: 2025, capacity: 225
1479: This is a ship. Speed: 4, distance to destination: 1399.000000, time to distance: 349.750000, ship type: tugboat, displacement: 18004
1480: This is a ship. Speed: 29, distance to destination: 1317.000000, time to distance: 45.413793, ship type: liner, displacement: 13863
1481: 1482: 1483: This is a ship. Speed: 4, distance to destination: 1747.000000, time to distance: 436.750000, ship type: tanker, displacement: 15096
1484: 1485: 1486: This is a ship. Speed: 40, distance to destination: 1905.000000, time to distance: 47.625000, ship type: liner, displacement: 29441
1487: 1488: This is a ship. Speed: 1, distance to destination: 196.000000, time to distance: 196.000000, ship type: liner, displacement: 4791
1489: 1490: 1491: 1492: This is a ship. Speed: 20, distance to destination: 1062.000000, time to distance: 53.100000, ship type: tugboat, displacement: 8449
1493: This is a ship. Speed: 14, distance to destination: 1581.000000, time to distance: 112.928571, ship type: tanker, displacement: 7534
1494: This is a ship. Speed: 10, distance to destination: 387.000000, time to distance: 38.700000, ship type: liner, displacement: 11059
1495: This is a plane. Speed: 60, distance to destination: 1911.000000, time to distance: 31.850000, maximum flight distance: 3194, capacity: 242
1496: This is a plane. Speed: 8, distance to destination: 1886.000000, time to distance: 235.750000, maximum flight distance: 3501, capacity: 288
1497: This is a ship. Speed: 51, distance to destination: 1871.000000, time to distance: 36.686275, ship type: tanker, displacement: 29507
1498: This is a plane. Speed: 21, distance to destination: 1738.000000, time to distance: 82.761905, maximum flight distance: 2117, capacity: 146
1499: This is a plane. Speed: 44, distance to destination: 1846.000000, time to distance: 41.954545, maximum flight distance: 2148, capacity: 264
1500: This is a ship. Speed: 8, distance to destination: 1499.000000, time to distance: 187.375000, ship type: liner, displacement: 16760
1501: 1502: 1503: This is a plane. Speed: 9, distance to destination: 1446.000000, time to distance: 160.666667, maximum flight distance: 3751, capacity: 128
1504: This is a ship. Speed: 44, distance to destination: 1874.000000, time to distance: 42.590909, ship type: tugboat, displacement: 15062
1505: 1506: This is a ship. Speed: 13, distance to destination: 1426.000000, time to distance: 109.692308, ship type: liner, displacement: 18388
1507: 1508: 1509: This is a ship. Speed: 25, distance to destination: 1139.000000, time to distance: 45.560000, ship type: tanker, displacement: 8200
1510: This is a ship. Speed: 35, distance to destination: 1648.000000, time to distance: 47.085714, ship type: tanker, displacement: 18756
1511: This is a ship. Speed: 31, distance to destination: 927.000000, time to distance: 29.903226, ship type: tanker, displacement: 30158
1512: 1513: 1514: 1515: This is a plane. Speed: 37, distance to destination: 1771.000000, time to distance: 47.864865, maximum flight distance: 3717, capacity: 296
1516: 1517: 1518: This is a ship. Speed: 1, distance to destination: 748.000000, time to distance: 748.000000, ship type: tanker, displacement: 26531
1519: This is a plane. Speed: 8, distance to destination: 893.000000, time to distance: 111.625000, maximum flight distance: 3641, capacity: 270
1520: This is a plane. Speed: 48, distance to destination: 1674.000000, time to distance: 34.875000, maximum flight distance: 3795, capacity: 212
1521: This is a ship. Speed: 50, distance to destination: 1845.000000, time to distance: 36.900000, ship type: tugboat, displacement: 16990
1522: This is a plane. Speed: 13, distance to destination: 1851.000000, time to distance: 142.384615, maximum flight distance: 3166, capacity: 153
1523: This is a plane. Speed: 14, distance to destination: 838.000000, time to distance: 59.857143, maximum flight distance: 2047, capacity: 210
1524: 1525: This is a plane. Speed: 32, distance to destination: 1914.000000, time to distance: 59.812500, maximum flight distance: 2877, capacity: 129
1526: 1527: This is a plane. Speed: 2, distance to destination: 881.000000, time to distance: 440.500000, maximum flight distance: 3142, capacity: 203
1528: 1529: This is a plane. Speed: 11, distance to destination: 1779.000000, time to distance: 161.727273, maximum flight distance: 3006, capacity: 240
1530: This is a plane. Speed: 11, distance to destination: 1560.000000, time to distance: 141.818182, maximum flight distance: 3355, capacity: 300
1531: 1532: This is a plane. Speed: 12, distance to destination: 1226.000000, time to distance: 102.166667, maximum flight distance: 2810, capacity: 258
1533: This is a plane. Speed: 18, distance to destination: 1090.000000, time to distance: 60.555556, maximum flight distance: 3226, capacity: 168
1534: This is a ship. Speed: 19, distance to destination: 1186.000000, time to distance: 62.421053, ship type: liner, displacement: 13793
1535: This is a ship. Speed: 12, distance to destination: 1432.000000, time to distance: 119.333333, ship type: tanker, displacement: 18564
1536: This is a ship. Speed: 46, distance to destination: 1839.000000, time to distance: 39.978261, ship type: tugboat, displacement: 30283
1537: This is a ship. Speed: 12, distance to destination: 716.000000, time to distance: 59.666667, ship type: tugboat, displacement: 5661
1538: This is a plane. Speed: 5, distance to destination: 1377.000000, time to distance: 275.400000, maximum flight distance: 2138, capacity: 151
1539: This is a ship. Speed: 13, distance to destination: 462.000000, time to distance: 35.538462, ship type: liner, displacement: 32146
1540: 1541: This is a ship. Speed: 39, distance to destination: 1837.000000, time to distance: 47.102564, ship type: tanker, displacement: 7035
1542: This is a ship. Speed: 15, distance to destination: 514.000000, time to distance: 34.266667, ship type: tanker, displacement: 32319
1543: This is a plane. Speed: 1, distance to destination: 632.000000, time to distance: 632.000000, maximum flight distance: 3507, capacity: 207
1544: This is a plane. Speed: 35, distance to destination: 1539.000000, time to distance: 43.971429, maximum flight distance: 2657, capacity: 292
1545: This is a ship. Speed: 20, distance to destination: 613.000000, time to distance: 30.650000, ship type: tanker, displacement: 25995
1546: This is a plane. Speed: 3, distance to destination: 1859.000000, time to distance: 619.666667, maximum flight distance: 3919, capacity: 148
1547: This is a plane. Speed: 21, distance to destination: 970.000000, time to distance: 46.190476, maximum flight distance: 3078, capacity: 258
1548: 1549: 1550: This is a plane. Speed: 29, distance to destination: 1059.000000, time to distance: 36.517241, maximum flight distance: 2314, capacity: 219
1551: This is a plane. Speed: 28, distance to destination: 1689.000000, time to distance: 60.321429, maximum flight distance: 2067, capacity: 109
1552: This is a ship. Speed: 21, distance to destination: 1251.000000, time to distance: 59.571429, ship type: tugboat, displacement: 29739
1553: This is a ship. Speed: 37, distance to destination: 1690.000000, time to distance: 45.675676, ship type: tanker, displacement: 17324
1554: This is a plane. Speed: 22, distance to destination: 1076.000000, time to distance: 48.909091, maximum flight distance: 2805, capacity: 293
1555: This is a ship. Speed: 9, distance to destination: 960.000000, time to distance: 106.666667, ship type: tanker, displacement: 33560
1556: This is a plane. Speed: 21, distance to destination: 1417.000000, time to distance: 67.476190, maximum flight distance: 2979, capacity: 274
1557: This is a plane. Speed: 23, distance to destination: 985.000000, time to distance: 42.826087, maximum flight distance: 3038, capacity: 169
1558: 1559: This is a ship. Speed: 44, distance to destination: 1444.000000, time to distance: 32.818182, ship type: tanker, displacement: 15880
1560: 1561: 1562: 1563: This is a ship. Speed: 6, distance to destination: 244.000000, time to distance: 40.666667, ship type: tugboat, displacement: 17723
1564: This is a ship. Speed: 1, distance to destination: 298.000000, time to distance: 298.000000, ship type: tugboat, displacement: 22390
1565: This is a plane. Speed: 2, distance to destination: 958.000000, time to distance: 479.000000, maximum flight distance: 3069, capacity: 147
1566: This is a ship. Speed: 46, distance to destination: 1537.000000, time to distance: 33.413043, ship type: liner, displacement: 22438
1567: 1568: 1569: 1570: 1571: This is a ship. Speed: 12, distance to destination: 1984.000000, time to distance: 165.333333, ship type: tugboat, displacement: 26282
1572: This is a plane. Speed: 34, distance to destination: 1402.000000, time to distance: 41.235294, maximum flight distance: 3777, capacity: 176
1573: This is a ship. Speed: 7, distance to destination: 1571.000000, time to distance: 224.428571, ship type: liner, displacement: 30886
1574: 1575: 1576: 1577: 1578: 1579: 1580: 1581: 1582: This is a plane. Speed: 41, distance to destination: 1748.000000, time to distance: 42.634146, maximum flight distance: 3894, capacity: 297
1583: This is a plane. Speed: 4, distance to destination: 1911.000000, time to distance: 477.750000, maximum flight distance: 3911, capacity: 128
1584: 1585: This is a plane. Speed: 35, distance to destination: 1294.000000, time to distance: 36.971429, maximum flight distance: 2872, capacity: 171
1586: This is a ship. Speed: 58, distance to destination: 1742.000000, time to distance: 30.034483, ship type: tugboat, displacement: 18957
1587: This is a ship. Speed: 37, distance to destination: 1670.000000, time to distance: 45.135135, ship type: tanker, displacement: 32696
1588: This is a plane. Speed: 19, distance to destination: 1657.000000, time to distance: 87.210526, maximum flight distance: 2858, capacity: 273
1589: This is a plane. Speed: 18, distance to destination: 1674.000000, time to distance: 93.000000, maximum flight distance: 2979, capacity: 194
1590: 1591: This is a ship. Speed: 52, distance to destination: 1694.000000, time to distance: 32.576923, ship type: tugboat, displacement: 14756
1592: 1593: This is a ship. Speed: 44, distance to destination: 1808.000000, time to distance: 41.090909, ship type: tanker, displacement: 23488
1594: 1595: This is a ship. Speed: 33, distance to destination: 1811.000000, time to distance: 54.878788, ship type: tugboat, displacement: 6297
1596: 1597: 1598: This is a plane. Speed: 13, distance to destination: 680.000000, time to distance: 52.307692, maximum flight distance: 4000, capacity: 193
1599: This is a ship. Speed: 6, distance to destination: 1289.000000, time to distance: 214.833333, ship type: liner, displacement: 28890
1600: This is a plane. Speed: 32, distance to destination: 1929.000000, time to distance: 60.281250, maximum flight distance: 3554, capacity: 198
1601: This is a plane. Speed: 12, distance to destination: 1003.000000, time to distance: 83.583333, maximum flight distance: 3674, capacity: 159
1602: 1603: 1604: This is a plane. Speed: 34, distance to destination: 1215.000000, time to distance: 35.735294, maximum flight distance: 3352, capacity: 133
1605: 1606: This is a plane. Speed: 25, distance to destination: 1479.000000, time to distance: 59.160000, maximum flight distance: 2710, capacity: 299
1607: This is a plane. Speed: 50, distance to destination: 1973.000000, time to distance: 39.460000, maximum flight distance: 3517, capacity: 134
1608: 1609: 1610: This is a ship. Speed: 20, distance to destination: 883.000000, time to distance: 44.150000, ship type: liner, displacement: 3710
1611: 1612: This is a plane. Speed: 14, distance to destination: 708.000000, time to distance: 50.571429, maximum flight distance: 3493, capacity: 130
1613: 1614: This is a ship. Speed: 19, distance to destination: 832.000000, time to distance: 43.789474, ship type: liner, displacement: 29970
1615: This is a ship. Speed: 27, distance to destination: 1674.000000, time to distance: 62.000000, ship type: tanker, displacement: 20994
1616: 1617: 1618: This is a plane. Speed: 15, distance to destination: 1427.000000, time to distance: 95.133333, maximum flight distance: 3558, capacity: 219
1619: This is a plane. Speed: 45, distance to destination: 1424.000000, time to distance: 31.644444, maximum flight distance: 3778, capacity: 283
1620: This is a plane. Speed: 43, distance to destination: 1780.000000, time to distance: 41.395349, maximum flight distance: 2657, capacity: 135
1621: 1622: This is a plane. Speed: 25, distance to destination: 805.000000, time to distance: 32.200000, maximum flight distance: 3508, capacity: 223
1623: This is a plane. Speed: 37, distance to destination: 1729.000000, time to distance: 46.729730, maximum flight distance: 3340, capacity: 188
1624: This is a ship. Speed: 8, distance to destination: 1458.000000, time to distance: 182.250000, ship type: tanker, displacement: 22039
1625: 1626: This is a plane. Speed: 43, distance to destination: 1528.000000, time to distance: 35.534884, maximum flight distance: 3514, capacity: 124
1627: 1628: 1629: 1630: This is a plane. Speed: 9, distance to destination: 1604.000000, time to distance: 178.222222, maximum flight distance: 2310, capacity: 118
1631: 1632: This is a plane. Speed: 19, distance to destination: 1289.000000, time to distance: 67.842105, maximum flight distance: 2849, capacity: 226
1633: This is a plane. Speed: 1, distance to destination: 288.000000, time to distance: 288.000000, maximum flight distance: 2202, capacity: 291
1634: This is a ship. Speed: 8, distance to destination: 1567.000000, time to distance: 195.875000, ship type: tanker, displacement: 29242
1635: This is a ship. Speed: 15, distance to destination: 1076.000000, time to distance: 71.733333, ship type: tanker, displacement: 21925
1636: This is a ship. Speed: 20, distance to destination: 1385.000000, time to distance: 69.250000, ship type: liner, displacement: 30002
1637: This is a ship. Speed: 7, distance to destination: 1281.000000, time to distance: 183.000000, ship type: liner, displacement: 16325
1638: This is a plane. Speed: 42, distance to destination: 1476.000000, time to distance: 35.142857, maximum flight distance: 2299, capacity: 274
1639: This is a plane. Speed: 34, distance to destination: 1329.000000, time to distance: 39.088235, maximum flight distance: 2445, capacity: 276
1640: 1641: This is a ship. Speed: 50, distance to destination: 1902.000000, time to distance: 38.040000, ship type: liner, displacement: 16211
1642: 1643: This is a ship. Speed: 16, distance to destination: 1319.000000, time to distance: 82.437500, ship type: liner, displacement: 30412
1644: This is a plane. Speed: 18, distance to destination: 995.000000, time to distance: 55.277778, maximum flight distance: 3792, capacity: 111
1645: This is a plane. Speed: 8, distance to destination: 1041.000000, time to distance: 130.125000, maximum flight distance: 3254, capacity: 193
1646: This is a ship. Speed: 5, distance to destination: 1732.000000, time to distance: 346.400000, ship type: tanker, displacement: 9784
1647: 1648: This is a ship. Speed: 2, distance to destination: 954.000000, time to distance: 477.000000, ship type: tugboat, displacement: 5379
1649: 1650: This is a ship. Speed: 11, distance to destination: 1874.000000, time to distance: 170.363636, ship type: tugboat, displacement: 12714
1651: This is a ship. Speed: 25, distance to destination: 1560.000000, time to distance: 62.400000, ship type: tugboat, displacement: 14594
1652: This is a plane. Speed: 37, distance to destination: 1385.000000, time to distance: 37.432432, maximum flight distance: 2138, capacity: 134
1653: This is a ship. Speed: 24, distance to destination: 1974.000000, time to distance: 82.250000, ship type: tanker, displacement: 18238
1654: This is a ship. Speed: 10, distance to destination: 1787.000000, time to distance: 178.700000, ship type: liner, displacement: 31305
1655: This is a plane. Speed: 8, distance to destination: 817.000000, time to distance: 102.125000, maximum flight distance: 3428, capacity: 191
1656: This is a plane. Speed: 33, distance to destination: 1964.000000, time to distance: 59.515152, maximum flight distance: 2610, capacity: 293
1657: This is a plane. Speed: 19, distance to destination: 1579.000000, time to distance: 83.105263, maximum flight distance: 2135, capacity: 280
1658: This is a ship. Speed: 19, distance to destination: 951.000000, time to distance: 50.052632, ship type: tanker, displacement: 17213
1659: This is a ship. Speed: 52, distance to destination: 1935.000000, time to distance: 37.211538, ship type: liner, displacement: 7611
1660: This is a ship. Speed: 29, distance to destination: 965.000000, time to distance: 33.275862, ship type: tanker, displacement: 27846
1661: This is a plane. Speed: 30, distance to destination: 966.000000, time to distance: 32.200000, maximum flight distance: 2264, capacity: 146
1662: This is a plane. Speed: 31, distance to destination: 1079.000000, time to distance: 34.806452, maximum flight distance: 2356, capacity: 173
1663: 1664: This is a plane. Speed: 30, distance to destination: 922.000000, time to distance: 30.733333, maximum flight distance: 3007, capacity: 242
1665: 1666: This is a plane. Speed: 1, distance to destination: 1150.000000, time to distance: 1150.000000, maximum flight distance: 3518, capacity: 145
1667: 1668: 1669: This is a ship. Speed: 15, distance to destination: 681.000000, time to distance: 45.400000, ship type: tanker, displacement: 25168
1670: 1671: 1672: 1673: This is a ship. Speed: 16, distance to destination: 531.000000, time to distance: 33.187500, ship type: tanker, displacement: 32848
1674: This is a ship. Speed: 15, distance to destination: 893.000000, time to distance: 59.533333, ship type: liner, displacement: 26390
