Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
339: 340: This is a plane. Speed: 176, distance to destination: 1328.000000, time to distance: 7.545455, maximum flight distance: 2596, capacity: 119
341: This is a plane. Speed: 38, distance to destination: 46.000000, time to distance: 1.210526, maximum flight distance: 3470, capacity: 126
342: This is a ship. Speed: 190, distance to destination: 213.000000, time to distance: 1.121053, ship type: tanker, displacement: 21089
343: This is a plane. Speed: 182, distance to destination: 443.000000, time to distance: 2.434066, maximum flight distance: 2546, capacity: 235
344: This is a plane. Speed: 90, distance to destination: 1980.000000, time to distance: 22.000000, maximum flight distance: 2722, capacity: 281
345: This is a plane. Speed: 133, distance to destination: 123.000000, time to distance: 0.924812, maximum flight distance: 2287, capacity: 258
346: 347: This is a plane. Speed: 9, distance to destination: 1719.000000, time to distance: 191.000000, maximum flight distance: 2761, capacity: 158
348: This is a ship. Speed: 31, distance to destination: 1269.000000, time to distance: 40.935484, ship type: tanker, displacement: 29148
349: 350: This is a plane. Speed: 37, distance to destination: 1304.000000, time to distance: 35.243243, maximum flight distance: 2463, capacity: 242
351: This is a plane. Speed: 76, distance to destination: 1057.000000, time to distance: 13.907895, maximum flight distance: 3182, capacity: 164
352: 353: 354: 355: 356: 357: 358: 359: This is a ship. Speed: 185, distance to destination: 943.000000, time to distance: 5.097297, ship type: tugboat, displacement: 28991
360: This is a plane. Speed: 5, distance to destination: 45.000000, time to distance: 9.000000, maximum flight distance: 3763, capacity: 150
361: 362: This is a ship. Speed: 57, distance to destination: 1170.000000, time to distance: 20.526316, ship type: liner, displacement: 9477
363: This is a ship. Speed: 193, distance to destination: 565.000000, time to distance: 2.927461, ship type: tugboat, displacement: 11094
364: This is a ship. Speed: 12, distance to destination: 1539.000000, time to distance: 128.250000, ship type: tanker, displacement: 23381
365: This is a ship. Speed: 158, distance to destination: 1905.000000, time to distance: 12.056962, ship type: tugboat, displacement: 2792
366: This is a ship. Speed: 87, distance to destination: 471.000000, time to distance: 5.413793, ship type: tugboat, displacement: 18886
367: This is a plane. Speed: 9, distance to destination: 293.000000, time to distance: 32.555556, maximum flight distance: 3645, capacity: 238
368: This is a ship. Speed: 58, distance to destination: 1022.000000, time to distance: 17.620690, ship type: liner, displacement: 21108
369: This is a plane. Speed: 48, distance to destination: 1572.000000, time to distance: 32.750000, maximum flight distance: 3624, capacity: 166
370: 371: This is a ship. Speed: 191, distance to destination: 1321.000000, time to distance: 6.916230, ship type: tanker, displacement: 1407
372: This is a plane. Speed: 88, distance to destination: 768.000000, time to distance: 8.727273, maximum flight distance: 2736, capacity: 157
373: 374: This is a plane. Speed: 159, distance to destination: 243.000000, time to distance: 1.528302, maximum flight distance: 2309, capacity: 199
375: 376: This is a ship. Speed: 143, distance to destination: 107.000000, time to distance: 0.748252, ship type: liner, displacement: 3140
377: This is a plane. Speed: 77, distance to destination: 334.000000, time to distance: 4.337662, maximum flight distance: 2948, capacity: 273
378: This is a ship. Speed: 95, distance to destination: 65.000000, time to distance: 0.684211, ship type: liner, displacement: 3269
379: 380: 381: This is a ship. Speed: 58, distance to destination: 676.000000, time to distance: 11.655172, ship type: liner, displacement: 2502
382: This is a plane. Speed: 88, distance to destination: 1935.000000, time to distance: 21.988636, maximum flight distance: 3166, capacity: 220
383: This is a ship. Speed: 145, distance to destination: 1336.000000, time to distance: 9.213793, ship type: tanker, displacement: 32218
384: This is a ship. Speed: 32, distance to destination: 364.000000, time to distance: 11.375000, ship type: tanker, displacement: 11703
385: This is a plane. Speed: 160, distance to destination: 114.000000, time to distance: 0.712500, maximum flight distance: 3821, capacity: 125
386: This is a ship. Speed: 200, distance to destination: 1108.000000, time to distance: 5.540000, ship type: tugboat, displacement: 27959
387: This is a ship. Speed: 91, distance to destination: 602.000000, time to distance: 6.615385, ship type: tanker, displacement: 11010
388: This is a ship. Speed: 183, distance to destination: 425.000000, time to distance: 2.322404, ship type: liner, displacement: 1886
389: This is a plane. Speed: 39, distance to destination: 1795.000000, time to distance: 46.025641, maximum flight distance: 3608, capacity: 153
390: This is a ship. Speed: 33, distance to destination: 364.000000, time to distance: 11.030303, ship type: tugboat, displacement: 7890
391: 392: This is a plane. Speed: 114, distance to destination: 1198.000000, time to distance: 10.508772, maximum flight distance: 3190, capacity: 299
393: 394: This is a ship. Speed: 189, distance to destination: 1696.000000, time to distance: 8.973545, ship type: tugboat, displacement: 3190
395: This is a ship. Speed: 133, distance to destination: 1906.000000, time to distance: 14.330827, ship type: tanker, displacement: 28231
396: This is a ship. Speed: 167, distance to destination: 1391.000000, time to distance: 8.329341, ship type: tugboat, displacement: 13346
397: 398: 399: This is a plane. Speed: 143, distance to destination: 412.000000, time to distance: 2.881119, maximum flight distance: 2138, capacity: 190
400: This is a ship. Speed: 25, distance to destination: 388.000000, time to distance: 15.520000, ship type: tugboat, displacement: 8573
401: This is a plane. Speed: 39, distance to destination: 858.000000, time to distance: 22.000000, maximum flight distance: 3943, capacity: 147
402: This is a ship. Speed: 66, distance to destination: 1145.000000, time to distance: 17.348485, ship type: tanker, displacement: 4725
403: This is a ship. Speed: 117, distance to destination: 656.000000, time to distance: 5.606838, ship type: tugboat, displacement: 7366
404: This is a plane. Speed: 36, distance to destination: 1854.000000, time to distance: 51.500000, maximum flight distance: 3836, capacity: 252
405: This is a ship. Speed: 177, distance to destination: 1158.000000, time to distance: 6.542373, ship type: liner, displacement: 24536
406: This is a ship. Speed: 124, distance to destination: 726.000000, time to distance: 5.854839, ship type: tanker, displacement: 15319
407: 408: This is a ship. Speed: 78, distance to destination: 233.000000, time to distance: 2.987179, ship type: liner, displacement: 11253
409: 410: 411: This is a ship. Speed: 135, distance to destination: 1366.000000, time to distance: 10.118519, ship type: tanker, displacement: 11346
412: This is a plane. Speed: 8, distance to destination: 1588.000000, time to distance: 198.500000, maximum flight distance: 2851, capacity: 228
413: This is a ship. Speed: 132, distance to destination: 616.000000, time to distance: 4.666667, ship type: tanker, displacement: 32416
414: 415: This is a ship. Speed: 60, distance to destination: 1613.000000, time to distance: 26.883333, ship type: tugboat, displacement: 16412
416: This is a ship. Speed: 121, distance to destination: 1584.000000, time to distance: 13.090909, ship type: tugboat, displacement: 6677
417: 418: 419: This is a ship. Speed: 185, distance to destination: 422.000000, time to distance: 2.281081, ship type: liner, displacement: 26794
420: This is a ship. Speed: 90, distance to destination: 1878.000000, time to distance: 20.866667, ship type: tanker, displacement: 23527
421: 422: This is a plane. Speed: 137, distance to destination: 1805.000000, time to distance: 13.175182, maximum flight distance: 2351, capacity: 184
423: This is a ship. Speed: 69, distance to destination: 1439.000000, time to distance: 20.855072, ship type: tanker, displacement: 25951
424: 425: 426: This is a ship. Speed: 99, distance to destination: 1028.000000, time to distance: 10.383838, ship type: tanker, displacement: 31567
427: 428: This is a ship. Speed: 170, distance to destination: 136.000000, time to distance: 0.800000, ship type: liner, displacement: 31437
429: This is a plane. Speed: 56, distance to destination: 610.000000, time to distance: 10.892857, maximum flight distance: 3954, capacity: 181
430: This is a ship. Speed: 100, distance to destination: 1070.000000, time to distance: 10.700000, ship type: liner, displacement: 12514
431: 432: This is a plane. Speed: 189, distance to destination: 1065.000000, time to distance: 5.634921, maximum flight distance: 3325, capacity: 164
433: This is a plane. Speed: 169, distance to destination: 1077.000000, time to distance: 6.372781, maximum flight distance: 3528, capacity: 163
434: This is a ship. Speed: 54, distance to destination: 1747.000000, time to distance: 32.351852, ship type: tanker, displacement: 5597
435: This is a plane. Speed: 143, distance to destination: 1111.000000, time to distance: 7.769231, maximum flight distance: 2568, capacity: 245
436: This is a ship. Speed: 29, distance to destination: 1815.000000, time to distance: 62.586207, ship type: tanker, displacement: 1237
437: This is a ship. Speed: 81, distance to destination: 1007.000000, time to distance: 12.432099, ship type: tugboat, displacement: 31145
438: This is a ship. Speed: 180, distance to destination: 1544.000000, time to distance: 8.577778, ship type: liner, displacement: 29407
439: This is a ship. Speed: 121, distance to destination: 1465.000000, time to distance: 12.107438, ship type: tugboat, displacement: 7708
440: This is a ship. Speed: 150, distance to destination: 629.000000, time to distance: 4.193333, ship type: tugboat, displacement: 10795
441: 442: 443: 444: This is a plane. Speed: 120, distance to destination: 62.000000, time to distance: 0.516667, maximum flight distance: 3737, capacity: 258
445: 446: This is a ship. Speed: 114, distance to destination: 1848.000000, time to distance: 16.210526, ship type: tanker, displacement: 23153
447: This is a plane. Speed: 72, distance to destination: 1332.000000, time to distance: 18.500000, maximum flight distance: 2184, capacity: 136
